stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022021483190001,Toven,61.340967,16.445255,0,9021021483190000,A
9022021483190002,Toven,61.340469,16.446198,0,9021021483190000,B
9022021483191001,Tågmästaren,61.344488,16.380135,0,9021021483191000,A
9022021483191002,Tågmästaren,61.344385,16.381236,0,9021021483191000,B
9022021483192001,Vevlinge,61.354325,16.432668,0,9021021483192000,A
9022021483192002,Vevlinge,61.354673,16.431105,0,9021021483192000,B
9022021483193001,Vevlingestrand,61.346989,16.435399,0,9021021483193000,A
9022021483193002,Vevlingestrand,61.347160,16.435365,0,9021021483193000,B
9022021483194001,Vik,61.325835,16.416302,0,9021021483194000,A
9022021483194002,Vik,61.326457,16.415660,0,9021021483194000,B
9022021483196001,Voltersberg,61.354960,16.399149,0,9021021483196000,A
9022021483196002,Voltersberg,61.355348,16.398633,0,9021021483196000,B
9022021483197001,Våtlåg,61.315059,16.387120,0,9021021483197000,A
9022021483197002,Våtlåg,61.314907,16.387080,0,9021021483197000,B
9022021483198001,Åsen,61.344013,16.362638,0,9021021483198000,A
9022021483198002,Åsen,61.343698,16.365099,0,9021021483198000,B
9022021483199001,Öberget,61.372748,16.398719,0,9021021483199000,A
9022021483199002,Öberget,61.372849,16.398291,0,9021021483199000,B
9022021483200002,Örnvägen,61.361700,16.429133,0,9021021483200000,B
9022021483201002,Örsängen,61.359624,16.433746,0,9021021483201000,B
9022021483202001,Thyrsvägen,61.274578,16.628235,0,9021021483202000,A
9022021483202002,Thyrsvägen,61.274750,16.628053,0,9021021483202000,B
9022021483203001,Bofara,61.210722,16.532982,0,9021021483203000,A
9022021483203002,Bofara,61.210964,16.533099,0,9021021483203000,B
9022021483204002,Bäcken,61.213787,16.610052,0,9021021483204000,B
9022021483205001,Bäckänge,61.291978,16.535775,0,9021021483205000,A
9022021483205002,Bäckänge,61.292096,16.535609,0,9021021483205000,B
9022021483206001,Böle,61.290057,16.505345,0,9021021483206000,A
9022021483206002,Böle,61.290845,16.503758,0,9021021483206000,B
9022021483207001,Djupa torg,61.286348,16.569084,0,9021021483207000,A
9022021483207002,Djupa torg,61.286365,16.569271,0,9021021483207000,B
9022021483208001,Erik-Ers,61.253278,16.416423,0,9021021483208000,A
9022021483208002,Erik-Ers,61.253180,16.416328,0,9021021483208000,B
9022021483209001,Erik-Mårs,61.336775,16.449149,0,9021021483209000,A
9022021483209002,Erik-Mårs,61.336838,16.449187,0,9021021483209000,B
9022021483210001,Fällene,61.308145,16.457334,0,9021021483210000,A
9022021483210002,Fällene,61.308698,16.456151,0,9021021483210000,B
9022021483211001,Fäsjön,61.251303,16.597316,0,9021021483211000,A
9022021483211002,Fäsjön,61.250953,16.598835,0,9021021483211000,B
9022021483212001,Gammel-Leeks,61.276506,16.602984,0,9021021483212000,A
9022021483212002,Gammel-Leeks,61.276559,16.603042,0,9021021483212000,B
9022021483213001,Garntjänst,61.228489,16.559734,0,9021021483213000,A
9022021483213002,Garntjänst,61.228480,16.559641,0,9021021483213000,B
9022021483214001,Granbo,61.274588,16.527000,0,9021021483214000,A
9022021483214002,Granbo,61.275554,16.525922,0,9021021483214000,B
9022021483216001,Görtsbo,61.297438,16.398623,0,9021021483216000,A
9022021483216002,Görtsbo,61.297537,16.398569,0,9021021483216000,B
9022021483217001,Hallen,61.214821,16.541748,0,9021021483217000,A
9022021483217002,Hallen,61.214919,16.541825,0,9021021483217000,B
9022021483218001,Hanebo kyrkväg,61.251051,16.553083,0,9021021483218000,A
9022021483218002,Hanebo kyrkväg,61.251023,16.553287,0,9021021483218000,B
9022021483219001,Haneborg,61.228510,16.570383,0,9021021483219000,A
9022021483219002,Haneborg,61.228032,16.570800,0,9021021483219000,B
9022021483220001,Harsnäs,61.332324,16.462319,0,9021021483220000,A
9022021483220002,Harsnäs,61.331809,16.463036,0,9021021483220000,B
9022021483221001,Landafors kraftverk,61.273074,16.618762,0,9021021483221000,A
